anchor,x,y
1004110002.0,8.070498141146913,-53.908314066051275
1004110009.0,10.86452394045502,-55.85676149020755
1004120006.0,2.9956682283375318,30.45602527313625
1004110016.0,12.713031611666395,-41.134499833043115
1004110017.0,14.773875701329624,-40.634307051860226
1004110112.0,9.467303666295223,-37.78051862837437
1004110022.0,14.587179823770025,-34.55345804296004
1004110024.0,14.308875679612246,-33.214497542991985
1004110025.0,13.89282377411436,-30.960219052941028
1004110026.0,13.863244417874293,-30.806294268970394
1004110027.0,13.622700548251395,-29.68440681261436
1004110028.0,13.195985067313298,-27.432202025256487
1004110029.0,13.146958534883959,-27.27177529029334
1004110030.0,12.909026933391146,-26.12673265027248
1004110031.0,12.500208508103896,-23.935193661392585
1004110032.0,12.46674217593981,-23.819961142320413
1004110033.0,12.042756260005834,-21.650994847880582
1004110034.0,12.007217482314736,-21.52509812076044
1004110035.0,11.573983318452232,-19.296296363952532
1004110036.0,11.542889481551683,-19.136334429154306
1004110037.0,11.100125169596511,-16.961846713090374
1004110038.0,11.051849072869555,-16.827359130211548
1004110040.0,11.442198868383713,-10.447173019809972
1004110103.0,6.671158758231214,-8.473996536013635
1004110041.0,10.893383969324708,-7.585233672332079
1004110042.0,10.386999154056893,-5.0939781756251765
1004110043.0,9.86867929634118,-2.427447131227509
1004110044.0,9.348685542564096,0.1416204278051769
1004110045.0,8.848976884365767,2.7186918000976736
1004110046.0,8.328243709466522,5.371701182386979
1004110047.0,7.821251031164198,7.877377889369889
1004110048.0,7.338346821727377,10.412219539697627
1004110049.0,6.784009931347169,13.081887968912962
1004110050.0,6.288654191397395,15.571975264798589
1004110051.0,5.779659052178885,18.118262843226713
1004110052.0,5.2276693798065885,20.844121676915904
1004110053.0,4.746755966209626,23.318186286029526
1004110054.0,4.263273704001652,25.91977789073196
1004110058.0,1.5153711984278353,31.333372822631816
1004110061.0,1.9412040409269429,37.467829389093346
1004110062.0,1.3745387479841953,40.32188359326487
1004110063.0,0.8577897506694314,42.866447171986955
1004110064.0,0.287556967485921,45.68836815476347
1004110067.0,-1.307342895853052,53.843394728946684
1004110065.0,-0.2181759132704096,48.4109501986259
1004110066.0,-0.7449896933917062,51.06422501080203
1004110099.0,-3.7751299749672693,45.97976582170268
1004110098.0,-4.214582776403021,48.240544511912304
1004110070.0,-15.183992082703284,53.61047945335655
1004110073.0,-12.775681909530968,51.17280881815822
1004110074.0,-12.209172792664654,48.435971448415515
1004110075.0,-11.721359645753932,45.989990658551065
1004120012.0,-5.27054394247423,14.8519216195127
1004110095.0,-3.5229167620529696,12.831503486355679
1004110094.0,-3.9691876441917575,15.013495329202096
1004110093.0,-3.9702225703484055,15.129548306315527
1004110089.0,-4.888826752212959,19.887057399641275
1004110081.0,-8.605327505378419,30.262780270643855
1004110080.0,-9.13292930672122,32.95523911870442
1004110079.0,-9.634000799587747,35.38869768973294
1004110078.0,-10.160050536212735,38.05980073054998
1004110077.0,-10.698860922026242,40.72677906163858
1004110076.0,-11.229015370972412,43.374615114302465
1004110018.0,15.66642005589733,-40.142035912074554
1004110060.0,1.0687380601210408,33.68355983518647
1004110092.0,-4.390022765999426,17.392527004577023
