rssi,anchor
-86,1007110078
-74,1007110069
-66,1007120021
-84,1007120010
-80,1007110090
-77,1007110076
-83,1007110072
-84,1007120005
-87,1007110077
-73,1007110082
-86,1007110035
-72,1007110067
-82,1007120010
-62,1007110070
-80,1007120006
-77,1007110066
-82,1007110085
-78,1007110076
-78,1007110072
-76,1007110082
-81,1007110069
-82,1007110080
-84,1007110078
-84,1007110074
-80,1007110064
-83,1007110075
-83,1007110090
-77,1007110076
-72,1007110084
-80,1007110069
-83,1007110083
-62,1007110070
-87,1007120008
-74,1007110082
-73,1007110084
-78,1007110069
-69,1007120021
-78,1007110064
-85,1007120010
-90,1007110079
-80,1007110076
-76,1007110082
-86,1007110083
-87,1007110077
-76,1007110082
-76,1007110069
-70,1007120021
-71,1007110068
-79,1007110085
-65,1007110070
-79,1007110076
-79,1007110080
-76,1007110067
-61,1007110070
-88,1007110077
-79,1007110066
-69,1007120021
-73,1007110069
-71,1007110068
-63,1007110070
-77,1007110072
-81,1007110073
-64,1007120021
-89,1007110080
-82,1007110074
-75,1007110086
-80,1007110089
-80,1007110072
-77,1007110082
-74,1007110084
-48,1007120021
-79,1007110080
-71,1007110067
-84,1007120010
-90,1007110075
-63,1007110070
-81,1007120006
-85,1007110077
-78,1007110066
-87,1007110087
-82,1007110085
-63,1007110070
-88,1007120006
-85,1007110089
-86,1007110073
-80,1007110082
-73,1007110084
-57,1007110067
-62,1007110070
-79,1007120006
-80,1007110073
-83,1007110078
-84,1007110077
-77,1007110066
-73,1007110068
-81,1007110085
-78,1007110086
-83,1007110089
-76,1007110072
-65,1007120021
-82,1007110081
-82,1007120010
-62,1007110070
-80,1007120006
-90,1007120008
-74,1007110069
-79,1007110080
-86,1007120010
-82,1007110072
-61,1007110066
-73,1007110081
-55,1007110067
-47,1007110070
-67,1007120006
-74,1007110089
-63,1007110076
-68,1007120005
-74,1007120008
-62,1007110082
-63,1007110085
-71,1007120010
-77,1007120008
-63,1007110082
-62,1007110084
-57,1007110069
-69,1007110080
-62,1007110068
-53,1007110070
-70,1007110078
-70,1007120010
-71,1007110085
-63,1007110072
-68,1007110073
-72,1007120007
-52,1007110067
-48,1007110070
-68,1007110080
-47,1007110070
-64,1007120006
-72,1007110077
-67,1007110084
-49,1007120021
-60,1007110068
-77,1007120008
-74,1007110077
-67,1007110082
-62,1007110066
-69,1007120007
-57,1007110067
-70,1007110068
-67,1007120010
-70,1007110089
-76,1007120008
-62,1007110066
-60,1007110069
-72,1007110083
-62,1007110076
-75,1007110077
-55,1007120021
-58,1007110067
-57,1007110068
-61,1007110072
-63,1007110082
-49,1007120021
-58,1007110069
-67,1007110064
-72,1007110081
-72,1007120010
-54,1007120021
-56,1007110067
-56,1007110068
-48,1007110070
-68,1007110086
-75,1007110078
-76,1007110065
-59,1007110084
-46,1007110070
-67,1007110089
-72,1007120008
-63,1007110082
-69,1007110081
-58,1007110067
-58,1007110068
-67,1007120006
-61,1007110072
-62,1007110073
-61,1007110066
-58,1007110084
-54,1007120021
-59,1007110069
-77,1007110081
-47,1007110070
-72,1007110089
-69,1007110080
-68,1007110067
-59,1007110068
-70,1007110072
-66,1007120007
-62,1007110066
-56,1007120021
-61,1007110069
-74,1007110067
-54,1007110068
-48,1007110070
-62,1007110086
-66,1007110072
-67,1007120005
-71,1007120010
-48,1007110070
-70,1007110077
-54,1007120021
-65,1007110084
-61,1007110064
-62,1007110080
-75,1007120006
-62,1007110086
-75,1007110077
-74,1007110074
-61,1007110066
-74,1007110064
-67,1007120010
-66,1007110079
-49,1007110070
-73,1007110086
-72,1007110065
-59,1007110066
-54,1007120021
-61,1007110084
-60,1007110069
-62,1007110064
-62,1007110086
-73,1007120008
-74,1007120007
-59,1007110069
-69,1007110073
-72,1007110065
-60,1007110066
-55,1007120021
-61,1007110064
-63,1007110086
-67,1007120005
-73,1007110078
-77,1007110077
-68,1007110082
-71,1007110085
-63,1007110080
-60,1007110068
-71,1007110090
-74,1007110074
-60,1007110066
-71,1007120010
-65,1007110076
-60,1007110084
-61,1007110069
-69,1007110080
-62,1007110067
-69,1007120006
-63,1007110082
-59,1007110066
-55,1007120021
-72,1007110083
-61,1007110081
-62,1007110067
-72,1007110089
-60,1007110066
-63,1007110084
-64,1007110085
-49,1007110070
-66,1007110076
-65,1007110082
-72,1007120007
-65,1007110067
-59,1007110084
-70,1007110086
-66,1007120005
-65,1007110066
-67,1007110079
-49,1007120021
-62,1007110069
-56,1007110067
-48,1007110070
-64,1007110078
-49,1007110070
-67,1007110084
-61,1007110069
-63,1007110068
-60,1007110078
-67,1007110077
-57,1007120021
-59,1007110069
-75,1007110083
-73,1007110085
-47,1007110070
-65,1007110066
-58,1007110067
-56,1007110068
-76,1007110076
-72,1007110078
-72,1007110077
-60,1007110082
-75,1007120007
-61,1007110084
-61,1007110064
-56,1007110069
-69,1007110080
-53,1007110068
-75,1007110075
-70,1007110066
-56,1007120021
-74,1007110083
-56,1007110067
-62,1007110079
-76,1007120008
-70,1007110082
-64,1007110069
-79,1007110083
-73,1007110076
-77,1007110072
-81,1007110066
-49,1007120021
-62,1007110067
-60,1007110079
-50,1007110070
-76,1007110077
-73,1007110050
-54,1007110084
-72,1007110080
-66,1007110085
-67,1007110086
-68,1007110078
-51,1007110070
-66,1007110082
-58,1007110084
-58,1007110069
-73,1007110081
-67,1007110085
-57,1007110068
-63,1007110079
-47,1007110070
-70,1007120005
-74,1007110077
-57,1007120021
-58,1007110084
-58,1007110069
-75,1007120006
-59,1007110066
-68,1007110089
-64,1007120005
-57,1007120021
-74,1007110075
-50,1007110070
-68,1007110076
-68,1007110078
-59,1007110084
-68,1007120010
-66,1007110079
-70,1007110089
-57,1007120021
-58,1007110064
-51,1007110068
-57,1007110082
-62,1007110084
-70,1007110081
-59,1007110079
-49,1007110070
-71,1007110089
-75,1007110065
-79,1007110062
-47,1007110070
-71,1007120005
-63,1007110078
-78,1007110074
-63,1007110066
-49,1007120021
-59,1007110084
-75,1007110081
-69,1007110085
-64,1007110086
-72,1007110090
-68,1007110089
-74,1007120009
-71,1007110067
-77,1007110074
-73,1007120007
-50,1007120021
-67,1007110069
-68,1007110081
-56,1007110068
-49,1007110070
-61,1007110086
-69,1007110089
-79,1007110072
-61,1007110064
-77,1007110083
-52,1007110068
-71,1007120005
-70,1007110073
-73,1007110069
-59,1007110068
-62,1007110079
-61,1007110069
-73,1007110087
-69,1007110040
-61,1007110069
-60,1007110067
-78,1007120010
-73,1007110077
-75,1007120009
-69,1007110065
-76,1007110081
-71,1007120006
-74,1007120005
-50,1007120021
-68,1007110067
-74,1007120010
-72,1007110086
-58,1007110084
-73,1007110081
-77,1007110090
-60,1007110069
-58,1007110067
-52,1007110068
-72,1007120010
-59,1007110082
-62,1007110066
-68,1007110081
-59,1007110068
-61,1007110085
-60,1007110079
-50,1007110070
-78,1007110090
-75,1007110065
-48,1007120021
-58,1007110069
-59,1007110067
-73,1007120006
-78,1007110073
-75,1007120007
-64,1007110082
-73,1007110081
-50,1007110070
-70,1007110090
-72,1007110089
-73,1007110067
-65,1007110079
-69,1007120006
-68,1007110082
-61,1007110066
-61,1007110085
-76,1007120008
-56,1007110082
-72,1007110073
-69,1007110082
-77,1007110040
-57,1007110084
-76,1007110087
-58,1007110068
-61,1007110079
-48,1007110070
-71,1007110089
-75,1007120008
-58,1007110082
-80,1007110083
-55,1007110070
-76,1007110072
-78,1007120007
-60,1007110082
-62,1007110084
-58,1007110068
-61,1007110079
-48,1007110070
-75,1007110078
-71,1007110065
-56,1007120021
-57,1007110067
-62,1007110084
-73,1007110069
-56,1007110068
-71,1007120010
-63,1007110085
-63,1007110082
-71,1007110067
-62,1007110082
-49,1007120021
-69,1007110069
-74,1007110087
-63,1007110079
-49,1007110070
-66,1007110089
-72,1007110073
-77,1007120007
-68,1007110082
-57,1007110068
-63,1007110079
-51,1007110070
-75,1007120005
-67,1007110066
-69,1007120010
-71,1007110090
-65,1007110073
-75,1007110077
-66,1007110066
-50,1007120021
-65,1007110076
-69,1007110089
-59,1007110069
-77,1007110083
-59,1007110068
-75,1007110090
-72,1007120007
-51,1007120021
-65,1007110084
-56,1007110067
-70,1007110085
-48,1007110070
-72,1007120006
-59,1007120021
-77,1007110083
-75,1007110087
-59,1007110068
-67,1007120010
-68,1007110079
-70,1007110090
-71,1007110086
-77,1007110078
-65,1007110066
-63,1007110064
-75,1007110087
-53,1007110067
-51,1007110070
-75,1007120006
-62,1007110076
-65,1007110089
-71,1007120009
-58,1007110082
-56,1007120021
-69,1007120010
-63,1007110066
-59,1007110069
-73,1007110087
-59,1007110067
-67,1007110085
-70,1007110089
-72,1007110077
-62,1007120021
-66,1007120010
-70,1007110090
-70,1007110065
-66,1007110082
-66,1007110084
-63,1007110067
-56,1007110068
-67,1007110078
-57,1007110082
-56,1007120021
-75,1007110087
-70,1007110081
-62,1007110068
-68,1007110079
-71,1007110078
-70,1007110066
-57,1007110069
-56,1007110084
-71,1007110080
-70,1007110079
-60,1007110070
-76,1007110086
-78,1007110063
-73,1007110076
-78,1007110072
-58,1007120021
-50,1007110068
-61,1007110068
-68,1007120010
-50,1007110070
-69,1007120005
-75,1007120009
-70,1007120007
-63,1007110066
-58,1007110069
-56,1007110084
-50,1007110070
-79,1007110086
-68,1007110076
-76,1007110071
-77,1007110065
-72,1007110087
-77,1007110081
-65,1007110079
-74,1007120008
-73,1007120009
-70,1007110066
-57,1007110069
-67,1007110067
-63,1007110068
-71,1007110090
-62,1007110086
-74,1007110073
-59,1007110082
-51,1007120021
-59,1007110084
-67,1007110080
-57,1007110067
-66,1007110085
-69,1007120006
-72,1007110073
-70,1007110066
-74,1007110080
-71,1007110068
-68,1007120010
-48,1007110070
-68,1007110090
-74,1007110089
-51,1007120021
-74,1007110081
-57,1007110067
-61,1007110085
-64,1007120006
-73,1007110063
-75,1007120005
-67,1007110082
-70,1007110066
-72,1007110087
-71,1007120010
-70,1007110085
-72,1007110090
-65,1007110069
-69,1007110081
-67,1007120006
-73,1007110072
-78,1007110078
-62,1007110066
-74,1007110064
-71,1007110087
-64,1007110067
-67,1007110085
-63,1007110073
-72,1007110078
-56,1007110069
-55,1007120021
-57,1007110084
-77,1007110064
-58,1007110068
-63,1007110085
-65,1007110079
-50,1007110070
-65,1007110086
-69,1007110073
-74,1007110065
-68,1007110066
-51,1007120021
-61,1007110084
-75,1007110064
-79,1007110035
-66,1007110067
-68,1007110085
-52,1007110070
-71,1007110078
-69,1007110081
-70,1007110068
-47,1007110070
-69,1007110076
-65,1007110089
-75,1007110073
-64,1007110066
-50,1007120021
-66,1007110069
-63,1007110064
-55,1007110067
-64,1007110079
-74,1007110086
-69,1007120006
-72,1007110072
-73,1007120008
-76,1007120009
-64,1007110085
-62,1007110086
-75,1007110076
